date,state,district,market,commodity,variety,min_price,max_price,modal_price,unit
2024-01-01,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1423.88,1757.95,1542.34,Quintal
2024-01-02,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1310.56,1625.18,1514.05,Quintal
2024-01-03,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1420.79,1993.45,1667.48,Quintal
2024-01-04,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1517.02,1758.58,1625.53,Quintal
2024-01-05,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1365.71,1750.86,1551.2,Quintal
2024-01-06,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1403.89,1719.01,1571.76,Quintal
2024-01-07,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1362.98,1712.93,1550.23,Quintal
2024-01-08,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1401.91,1827.94,1565.32,Quintal
2024-01-09,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1424.75,1656.23,1566.97,Quintal
2024-01-10,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1340.98,1583.66,1472.38,Quintal
2024-01-11,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1429.73,1737.34,1556.72,Quintal
2024-01-12,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1380.6,1800.25,1601.25,Quintal
2024-01-13,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1505.01,1926.61,1707.97,Quintal
2024-01-14,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1421.0,1692.83,1570.74,Quintal
2024-01-15,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1403.83,1764.33,1634.55,Quintal
2024-01-16,Maharashtra,Nashik,Nashik Main Mandi,Tomato,Local / Hybrid,1376.91,1770.51,1611.32,Quintal
